Name,Release Year,Source,
28 Black Energy Drink,2008,https://www.28black.com/en-US/about-us.html,
3D Energy Drink,2017,https://www.stack3d.com/2018/08/3d-energy.html,
4 Purpose Energy Drink,2016,https://www.bevnet.com/news/2017/4-purpose-energy-drink-marks-one-year-anniversary,
ABB Turbo Tea Zero,2016,https://dsld.od.nih.gov/label/57387,
Adrenaline Shoc,2019,"https://www.prnewswire.com/news-releases/serial-beverage-entrepreneur-lance-collins-launches-adrenaline-shoc-300833592.html#:~:text=BEVERLY%20HILLS%2C%20Calif.%2C%20April,designed%20for%20today's%20active%20generation.",
Alani Nu Energy Drink,2018,https://www.reuters.com/markets/deals/energy-drink-maker-alani-nu-explores-options-including-sale-2023-07-18/,
ALL IN Energy Drink,2016,https://www.drinkallin.com/pages/about-us,
Amino Force Energy Drink,2016,https://dsld.od.nih.gov/label/56411,
Arizona Arnold Palmer Half and Half,2001,https://www.arnoldpalmer.com/beverages,
Arizona Energy Drink Rx,2001,https://caffeinepark.com/arizona-energy-drink-rx-caffeine-494/,
Bai Antioxidant Infusion,2009,https://www.bevnet.com/news/2011/waking-up-to-coffee-fruit/,
Bai Boost,2021,https://www.beverage-digest.com/articles/422-dr-pepper-zero-sugar-bai-boost-extensions-to-launch-in-march?v=preview,
Bang Energy,2012,https://www.bevnet.com/news/2017/the-bang-revolution/,
Bang Keto Coffee,2019,https://www.schottdistributing.com/2018/11/30/new-bang-keto-coffee-now-available/,
Bang Natural,2019,https://thesuppplug.blogspot.com/2019/11/bang-energy-rolls-out-all-new-natural.html,
Bang Sweet Tea,2018,https://markets.businessinsider.com/news/stocks/bang-shocks-beverage-world-with-triple-threat-tea-se-launch-1023013012,
BE Beyond Energy Drink,2014,https://pitchbook.com/profiles/company/520469-02#overview,
Beaver Buzz Energy Drink,2005,https://www.businesswire.com/news/home/20150602005504/en/Canadian-Underdog-Celebrates-Ten-Dam-Good-Years,
BEEBAD Energy Drink,2017,"https://www.specialtyfood.com/news/article/beebad-a-revolutionary-honey-powered-energy-drink-to-debut-at-the-2017-summer-fancy-food-show-booth-4500-june-25-27-2017-124494/#:~:text=06%2F22%2F2017-,BEEBAD%2C%20A%20REVOLUTIONARY%20HONEY%2DPOWERED%20ENERGY%20DRINK%2C%20TO%20DEBUT,%2C%20June%2025%2D27%2C%202017&text=Healthy%2C%20great%2Dtasting%20beverage%20has%20people%20buzzing.",
Bing Energy Drink,2006,https://bingbeverage.com/,
Black Bruin Energy Drink,1997,https://www.facebook.com/blackbruintr/about_details,
Blu Frog Energy Drink,2008,https://blufrog.wordpress.com/,
Bodyarmour Edge,2021,https://www.bevindustry.com/articles/93855-bodyarmor-releases-caffeinated-sports-drink,
Bomb Energy Drink,2009,https://www.prnewswire.com/news-releases/canadian-energy-drink-companys-growth-on-fire-no-dragons-required-516524491.html,
Bomba (EU),1994,https://issuu.com/bombaenergy0/docs/bomba_energy_drink_evaluation_criti,
Boost Energy (UK),2001,"https://www.boostdrinks.com/about-boost/#:~:text=We%20were%20founded%20in%202001,and%20iced%20coffee%20you%20know!",
BreinFuel,2020,https://www.prnewswire.com/news-releases/launch-of-breinfuel-ignites-functional-beverage-category-with-high-performance-nootropic-beverage-301193860.html,
Bucked Up,2019,https://voyageutah.com/interview/meet-ryan-gardner-of-bucked-up/,
Burn Energy Drink,2002,"https://www.bevnet.com/news/2009/1-15-2009-burn_for_sale/#:~:text=BURN%2C%20launched%20in%20February%202002,brands%20and%20actually%20tasting%20great.",
C4 Energy Drink,2018,https://reizeclub.com/is-c4-energy-drink-bad-for-you/,
C4 On The Go,2018,https://reizeclub.com/is-c4-energy-drink-bad-for-you/,
C4 Smart Energy Drink,2020,https://www.prnewswire.com/news-releases/new-c4-smart-energy-unlocks-superbrain-performance-300999787.html,
C4 Ultimate Energy Drink,2018,https://www.stack3d.com/2018/05/c4-ultimate-energy-drink.html,
Carabao Energy Drink (UK),2002,https://www.asianfoodlovers.com/en/energy-drink-150-ml-462,
Celsius Energy Drink,2009,"https://celsiussverige.se/about-celsius/?lang=en#:~:text=CELSIUS%20is%20the%20original%20functional,functional%20drinks%20and%20energy%20drinks.",
Celsius Heat Energy Drink,2017,https://www.prnewswire.com/news-releases/celsius-newest-product-launch-celsius-heat-selected-as-one-of-beverage-industrys-2017-innovations-of-the-year-300567519.html,
Cintron Energy Drink,2010,http://www.times.co.sz/entertainment/22474-cintron-energy-drink-planning-to-bring-akon.html,
Club Mate (EU),1994,https://www.kqed.org/bayareabites/105046/your-new-favorite-energy-drink-an-exclusive-club-mate-comes-to-sf,
Coca-Cola Cherry Vanilla,2006,"https://the-soda.fandom.com/wiki/Coca-Cola_Cherry_Vanilla#:~:text=Not%20to%20be%20confused%20with,in%20the%20summer%20of%202007.",
Coca-Cola Energy,2020,"https://www.cspdailynews.com/beverages/coca-cola-cuts-its-energy-drink#:~:text=Coca%2DCola%20Energy%2C%20which%20was,and%20their%20zero%2Dsugar%20counterparts.",
Cocaine Energy Drink,2006,https://www.thrillist.com/drink/nation/cocaine-energy-drink-history,
Cran Energy Juice,2008,https://www.mashed.com/269821/the-untold-truth-of-ocean-spray/,
Crave Energy Drink (UK),2007,https://www.webwire.com/ViewPressRel.asp?aId=54567,
Crunk Energy Drink,2004,https://www.crunkenergy.com/about,
Dark Dog Organic Energy,2000,https://www.darkdogenergy.com.sg/about-us,
Duff Energy Drink,2007,"https://simpsonswiki.com/wiki/Duff_Beer_(real_world)#:~:text=In%202007%20a%20Duff%20Energy,the%20beer%20on%20The%20Simpsons.",
Dutch Bros Blue Rebel Energy Drink,2012,"https://www.globenewswire.com/news-release/2012/04/02/1201191/0/en/Dutch-Bros-Announces-Dutch-Bros-Blue-Rebel-Energy-Drink-Line.html#:~:text=GRANTS%20PASS%2C%20OR%2D%2D(Marketwire,for%20the%20Grants%20Pass%2C%20Ore.",
EBOOST Super Fuel,2019,https://www.fb101.com/eboost-super-fuel-named-best-new-product-of-2019-by-bevnet/,
EnerBee Energy Drink,2014,https://www.bevindustry.com/articles/88063-enerbee,
Fakeer Energy Drink (EU),2012,https://www.foodbev.com/news/fakeer-energy-drink/,
Full Throttle Energy Drink,2004,"https://en.wikipedia.org/wiki/Full_Throttle_(drink)#:~:text=Full%20Throttle%20is%20an%20energy,competitions%20from%202008%20to%202012.",
Gatorade Bolt 24 Energize,2020,https://www.bevindustry.com/articles/92699-gatorade-bolt24-energize#:~:text=Gatorade%20BOLT24%20ENERGIZE%20%7C%202020%2D01%2D07%20%7C%20Beverage%20Industry,
GFuel Cans,2019,"https://gfuel.com/en-ca/blogs/news/g-fuel-now-available-16-ounce-cans-nationwide#:~:text=The%20G%20Fuel%20You've,to%20buy%20at%20gfuel.com.",
Ghost Energy Drink,2016,https://www.bevindustry.com/articles/95710-how-ghost-energy-found-success-through-transparency,
Go Fast Energy Drink,2001,https://www.dropzone.com/articles/news/go-fast-energy-drink-bolts-out-of-gate-r419/,
Go Fast High Octane Energy Drink,2020,https://issuu.com/bevnet/docs/2021_functional-bev-guide,https://www.facebook.com/gofastenergydrinks/videos/go-fast-high-octane-now-available/544227936240416/
Go Girl Energy Drink,2020,"https://www.bevnet.com/news/2020/go-girl-energy-relaunches-under-new-ownership/#:~:text=%E2%80%94Fifteen%20years%20after%20being%20founded,busy%20women%20and%20active%20lifestyles.",
Gridlock Energy Drink,2010,https://www.bevindustry.com/articles/82549-energy-drinks-leveling-field,
GURU Energy Drink,1999,https://investors.guruenergy.com/en/about-us,
Hell Energy Drink (EU),2006,https://www.hellenergy.com/en-about-us/,
Hi Ball Energy Drink,2005,https://www.prnewswire.com/news-releases/anheuser-busch-partners-with-hiball-energy-and-alta-palla-brands-300491643.html,
Hyde Xtreme,2020,https://www.prosupps.com/blogs/news/new-product-alert-hyde-xtreme-ready-to-drink,
Hype Energy Drink (EU),2002,https://en-academic.com/dic.nsf/enwiki/4339323,
Irn Bru (UK),2019,https://www.agbarr.co.uk/about-us/news/irn-bru-energy/,
Java Kick Coffee Cola,2016,https://www.bevnet.com/news/2016/java-kick-coffee-cola-energy-drink-released/,
Java Monster,2007,"https://investors.monsterbevcorp.com/static-files/1e783029-5454-4ab1-87b7-6fc871c51447#:~:text=In%20May%202007%20we%20launched,%E2%80%9D%20and%20%E2%80%9CMean%20Bean.%E2%80%9D",
Java Monster 300,2020,https://www.caffeineshark.com/post/new-energy-drinks-for-2020,
Joker Mad Energy,2005,https://investors.monsterbevcorp.com/node/9501/html,
Juice Monster,,,
Kill Cliff Energy X Recover,2011,https://ca.finance.yahoo.com/news/kill-cliff-tm-recovery-drink-130000954.html,
Kill Cliff Ignite,2018,https://www.businesswire.com/news/home/20180710005226/en/KILL-CLIFF%C2%AE-Expands-Product-Line-Launches-New-Packaging-with-IGNITE-%E2%80%93-ENDURE-%E2%80%93-RECOVER-Full-System-of-Clean-Performance-Beverages,
Kin Spritz,2019,https://www.forbes.com/sites/karineldor/2019/07/14/why-the-founder-of-kin-euphorics-wants-us-to-replace-booze-with-bliss/?sh=30016b9b2aff,
Kona Gold Energy Drink,2016,"https://www.bevnet.com/news/2016/kona-gold-solutions-launches-hemp-energy-drink/#:~:text=ROCKLEDGE%2C%20Fla.%2C%20Aug.,%E2%80%94%20Kona%20Gold%20Solutions%2C%20Inc.",
Liquid Help Energy Drink,2019,https://www.youtube.com/watch?v=szEcKmBZpAM,
Liquid Ice Energy Drink,2003,https://portal.liquidiceenergy.com/history/,
Live+  Energy Drink,2018,https://www.mightyape.co.nz/product/live-plus-energy-drink-original-citrus-500ml/28204228,
Loud Energy Drink,2007,https://www.foodingredientsfirst.com/news/loud-launches-beverage-company-with-line-of-energy-drinks.html,
Lucozade,2017,https://www.telegraph.co.uk/business/2017/10/30/lucozade-cactus-juice-can-fuel-healthier-living/,
M-150 Energy Drink,1985,https://www.shelflife.ie/sparks-of-energy/,
Mamma Chia Energy,2009,"https://mammachia.com/blogs/news/mamma-chia-celebrates-10th-anniversary-with-new-leadership-and-innovation#:~:text=About%20Mamma%20Chia&text=Founded%20in%202009%2C%20Mamma%20Chia,Energy%20Beverages%20and%20Chia%20Seeds.",
Marquis Energy Drink,2010,"https://www.prnewswire.com/news-releases/marquis-introduces-its-first-botanical-inspired-flavor-lemon-lavender-to-drive-rapid-growth-301843569.html#:~:text=Marquis%20is%20an%20innovative%20beverage,unsustainable%20and%20needed%20a%20change.",
MATI Energy Drink,2012,https://www.linkedin.com/company/mati-energy/about/,
Meltdown Ketone Drink,2018,https://www.prnewswire.com/news-releases/sleek-sexy-and-super-sophisticated-300650096.html,
Monster Assault,2004,"https://investors.monsterbevcorp.com/static-files/42c190b0-bbbb-4a3f-a62d-0d987bcbb254#:~:text=During%202005%20we%20extended%20our,drink%20in%2016%20ounce%20cans.",
Monster Dragon Tea,2019,https://www.bevnet.com/news/2019/monster-reveals-performance-energy-tea-innovations,
Monster Energy,2002,https://www.forbes.com/profile/rodney-sacks/?sh=7ce76b812ae7,
Monster Hydro,2017,"https://monster-energy.fandom.com/wiki/Monster_Hydro#:~:text=Monster%20Hydro%20is%20a%20series,is%20available%20in%20various%20country.",
Monster Lo-Carb,2002,"https://cannedreviews.blogspot.com/2008/03/monster-lo-carb.html#:~:text=Monster%20debuted%20two%20different%20energy,it%20has%20an%20awesome%20taste.",
Monster Mango Loco,2019,"https://www.prnewswire.com/news-releases/monster-energy-mango-loco-earns-nielsens-bases-top-25-breakthrough-innovation-award-301144675.html#:~:text=Launched%20in%20October%20of%202019,the%20festivities%20with%20the%20living.",
Monster Mule,2021,https://www.cocacolaep.com/gb/news/2021/a-monster-start-to-the-year-with-trio-of-new-variants/,
Monster Nitro,2021,https://www.cocacolaep.com/gb/news/2021/monster-packs-a-punch-with-supercharged-nitro-variant/,
Monster Pipeline Punch,2019,https://monster-energy.fandom.com/wiki/Juiced_Monster_Pipeline_Punch,
Monster Rehab,2011,https://www.businesswire.com/news/home/20130729005528/en/Research-and-Markets-Successes-and-Failures-Case-Study-Monster-Rehab,
Monster Reserve,2021,"https://www.prnewswire.com/news-releases/monster-energy-introduces-new-monster-reserve-301398954.html#:~:text=CORONA%2C%20Calif.%2C%20Oct.,flavors%2C%20White%20Pineapple%20and%20Watermelon.",
Monster Ripper Energy Juice (UK),,,
Monster The Doctor VR46 (UK),2014,https://monster-energy.fandom.com/wiki/Monster_Energy_The_Doctor,
Monster Ultra,2015,https://www.betterretailing.com/product-news/soft-drinks/monster-ultra-range-launches-in-convenience/,
Monster Zero Sugar,2023,https://www.prnewswire.com/news-releases/monster-energy-launches-monster-energy-zero-sugar-301715741.html,
Moose Juice Energy Drink,2017,https://www.conveniencestore.co.uk/products/moose-juice-rolls-out-seriously-strong-energy-drink/549878.article,
Mother Energy Drink,2006,https://en-academic.com/dic.nsf/enwiki/4927600,
Mountain Dew Amp,2001,https://mountaindew.fandom.com/wiki/Amp,
Mountain Dew Game Fuel,2007,"https://www.halopedia.org/Mountain_Dew_Game_Fuel#:~:text=Mountain%20Dew%20Game%20Fuel%2C%20produced,only%2012%20weeks%20in%20stores.",
Mountain Dew Rise,2021,https://www.convenience.org/Media/Daily/2021/Mar/19/5-PepsiCo-Mtn-Dew-Rise-Energy-Drink_Marketing,
Mountain Dew Spark,2020,https://mountaindew.fandom.com/wiki/Spark,
Muscle Monster,2013,https://www.beveragedaily.com/Article/2013/03/04/Monster-Beverage-buffs-up-Muscle-Monster-for-launch,
Nerd Focus,2006,"https://www.prnewswire.com/news-releases/nerd-focus-named-official-energy-drink-of-the-texas-rangers-and-globe-life-field-301771883.html#:~:text=In%202006%2C%20a%20UTSA%20student,his%20own%20%22think%22%20drink.",
Neuro Sonic,2009,https://www.bevnet.com/news/2009/9-1-2009-introducing_neuro/,
NOCCO Energy Drink (EU),2014,https://nocco.com/about-us/,
NOS Energy Drink,2005,https://www.bevnet.com/brands/nos_energy_drink,
OCA Energy Drink,2020,https://app.bevnet.com/brandspotlights/global-flavors,
Oikos Pro Fuel,2019,https://www.prnewswire.com/news-releases/oikos-launches-new-protein-packed-caffeinated-dairy-beverage-line-to-fuel-your-hustle-300916273.html,
OK Energy Drink,2009,https://stories.valora.com/en/valoras-own-brand-ok-a-success-story/,
Perk Energy Beverage,2016,"https://nittygrittyshow.com/2019/08/12/ep-13-perk-energy-rena-doman/#:~:text=Rena%20Doman%20is%20the%20owner,her%20husband%20launched%20Perk%20Energy.",
Power Horse Energy Drink (EU),1994,https://www.bevnet.com/brands/powerhorse,
Prime Energy Drink,2022,https://www.cnn.com/2023/07/10/business/prime-drink-caffeine-logan-paul-explainer/index.html,
Protein2O + Energy,2019,https://www.bevnet.com/news/2019/protein2o-launches-protein2o-plus-energy/,
Pure Cofain 699 (EU),,,
Quake Energy Berry Blast Slurpee,2019,https://www.cspdailynews.com/foodservice/7-eleven-launches-slurpee-version-quake,
Quake Energy Drink,2019,"https://www.prnewswire.com/news-releases/7-eleven-shakes-up-energy-drink-lineup-with-quake-private-brand-offering-300871297.html#:~:text=IRVING%2C%20Texas%2C%20June%2019%2C,private%20brand%20version%20%E2%80%93%20Quake%C2%AE.",
Raze Energy Drink,2018,https://www.stack3d.com/2018/08/first-look-razer-energy-drink.html,
Red Bull,1987,https://www.caffeineinformer.com/caffeine-content/red-bull,
Red Bull Editions,2013,"https://en.wikipedia.org/wiki/Red_Bull#:~:text=The%20company%20began%20expanding%20its,seasons%20or%20in%20certain%20regions.",
Red Bull Sugarfree,2003,"https://en.wikipedia.org/wiki/Red_Bull#:~:text=Red%20Bull%20began%20offering%20variations,original%2C%20called%20Red%20Bull%20Sugarfree.",
Red Bull Zero,2018,"https://en.wikipedia.org/wiki/Red_Bull#:~:text=In%202012%2C%20Red%20Bull%20released,more%20like%20the%20original%20flavor.",
Red Devil Energy Drink,1995,https://en.wikipedia.org/wiki/Red_Devil_Energy_Drink,
Red Eye Energy Drink,1995,https://en-academic.com/dic.nsf/enwiki/4375622,
Red Power Elixir,2016,"https://www.winsightgrocerybusiness.com/wellness/red-elixir-introduced-healthy-alternative#:~:text=After%20a%20successful%20test%20market,being%20added%20across%20the%20country.",
Red Thunder Energy Drink,,,
Redline Princess,2008,https://trademarks.justia.com/776/18/redline-princess-mood-energy-fat-loss-matrix-77618330.html,
Redline Xtreme Energy Drink,2007,https://trademarks.justia.com/771/56/redline-77156288.html,
Reign Total Body Fuel,2019,"https://en.wikipedia.org/wiki/Reign_(drink)#:~:text=Reign%20Total%20Body%20Fuel%20is,by%20the%20Monster%20Beverage%20Corporation.",
Rip It Energy Drink,2004,"https://en.wikipedia.org/wiki/Rip_It#:~:text=It%20was%20introduced%20in%202004,.'s%20first%20energy%20drink.&text=National%20Beverage%20Corp.,-Country%20of%20origin&text=Marketed%20as%20%22energy%20fuel%20at,can%20in%20the%20United%20States.",
Roaring Lion Energy Drink,2001,https://www.bevnet.com/supplierfinder/roaring_lion_energy_drink,
Rockstar Boom,2015,https://www.theimpulsivebuy.com/wordpress/2015/07/02/spotted-on-shelves-rockstar-boom-energy-drink-whipped-strawberry-and-whipped-orange/,
Rockstar Energy Drink (Original),2001,"https://en.wikipedia.org/wiki/Rockstar_(drink)#:~:text=Rockstar%20(stylized%20as%20ROCKST%E2%98%85,based%20in%20Purchase%2C%20New%20York.",
Rockstar Halo Infinite,2021,"https://news.xbox.com/en-us/2021/10/04/rockstar-artist-series-cans-inspired-by-halo/#:~:text=Starting%20October%201%20and%20through,an%20Xbox%20Series%20X%20bundle.",
Rockstar Juiced,2006,https://www.bevnet.com/brands/rockstar/rockstar_juiced,
Rockstar Organic Energy Drink,,,
Rockstar Punched,2007,https://www.bevnet.com/brands/rockstar/punched,
Rockstar Pure Zero,,,
Rockstar Recovery,2010,https://www.bevnet.com/brands/rockstar/recovery_lemonade,
Rockstar Sugar Free,,,
Rockstar Thermo,2020,https://www.stack3d.com/2020/01/rockstar-thermo-energy-drink.html,
Rockstar Unplugged,2022,https://www.prnewswire.com/news-releases/rockstar-energy-drink-unveils-a-new-kind-of-energy-drink-rockstar-unplugged---with-hemp-seed-oil-and-b-vitamins-301472434.html,
Rockstar XDurance,2018,https://www.stack3d.com/2018/08/rockstar-xdurance.html,
Rockstar Zero Carb,2006,https://www.bevnet.com/brands/rockstar/rockstar_zero_carb,
RootJack Caffeinated Pirate Root Beer,2009,https://www.bilgemunky.com/pirate-reviews/other/rootjack/,
Rowdy Energy Drink,2020,https://www.bevnet.com/news/2021/better-for-you-energy-drink-rowdy-energy-debuts-two-new-flavors-blue-raspberry-and-grape/,
Runa,2015,https://en.wikipedia.org/wiki/Runa_LLC,
Rush! Energy Drink,2003,https://www.linkedin.com/company/rush-energy-drinks-ltd/?originalSubdomain=uk,
Sambazon Amazon Energy Drink,2000,https://www.bevnet.com/news/2021/sambazon-secures-45m-investment-will-launch-sambazon-hospitality-group-to-compliment-retail-line/,
Scheckters Energy Drink,2011,https://www.bevnet.com/brands/scheckters,
Slammers Energy Drink (EU),,,
SoBe Energy Citrus,1997,"https://www.encyclopedia.com/books/politics-and-business-magazines/south-beach-beverage-company-inc#:~:text=1995%3A,3G%2C%203C%2C%20Energy%20drinks.",
Solimo Energy Drink,2019,"https://www.thebrainyinsights.com/report/energy-drinks-market-12984#:~:text=For%20instance%2C%20in%20April%202019,and%20Solimo%20Silver%20Energy%20Drink.",
Source 1899 (UK),,,
Soylent Stacked,2019,"https://www.prnewswire.com/news-releases/soylent-launches-the-first-complete-energy-drink-300979437.html#:~:text=LOS%20ANGELES%2C%20Dec.,fuel%20the%20mind%20and%20body.",
Speed Energy Fuel,2010,https://www.espn.com/racing/nascar/cup/news/story?id=5741721,
Spider Energy Drink,2009,https://www.bevnet.com/news/2009/10-19-2009-spider_energy/,
Spike Hardcore Energy,2009,https://issuu.com/bevnet/docs/novdec_09,
Spike Shooter,2007,https://www.bevnet.com/news/2007/02-07-2007-Spike.asp,
Starbucks Triple Shot Energy,2019,https://www.brandeating.com/2019/03/starbucks-releases-new-tripleshot-energy-canned-beverages.html,
Steaz Energy,2006,https://foodchainmagazine.com/news/steaz/,
T-Virus Antidote,2012,"https://residentevil.fandom.com/wiki/User_blog:Forerunner/Resident_Evil_beverages#:~:text=For%20your%20energy%20drink%20lovers,to%20promote%20Resident%20Evil%3A%20Retribution.",
Taurus Energy Drink,2015,https://www.minimeinsights.com/2016/06/11/new-taurus-energy-drink-recharge-vitamin-c-drink/,
TENZING Natural Energy,2016,"https://uk.sodexo.com/inspired-thinking/insights/blog-item-1.html#:~:text=He%20launched%20Tenzing%2C%20a%20natural,summit%20of%20Everest%20in%201953.",
Tiger Energy Drink,2003,https://en.wikipedia.org/wiki/Tiger_Energy_Drink,
Triton Energy Drink,2020,https://www.foodbusinessnews.net/articles/17073--eleven-unveils-sugar-free-energy-drink,
Tru Energy Wakeup,,,
Tweaker Energy Drink,2017,https://www.bevindustry.com/articles/90340-tweaker-energy-drink,
Ugly Energy Water,2019,https://www.bevnet.com/news/2019/ugly-drinks-announces-new-investment-launch-of-energy-line/,
UPTIME Energy Drink,2014,"https://medium.com/authority-magazine/benjamin-kim-of-uptime-energy-on-5-things-you-need-to-create-a-successful-food-or-beverage-brand-bd4a12ca73b4#:~:text=Since%20its%20launch%20in%20July,better%2Dfor%2Dyou%20offering.",
USANA Rev3 Energy Drink,2008,https://www.sequenceinc.com/fraudfiles/2008/08/usanas-new-rev3-energy-drink/,
V Energy Drink,1997,"https://www.suntory.com/brands/v/#:~:text=Created%20and%20launched%20in%201997,more%20out%20of%20life%20today.",
V8 +Energy Drink,2011,https://www.campbellsoupcompany.com/newsroom/press-releases/v8r-brand-energizes-its-portfolio-with-new-energy-drinks-and-shots/,
Venom Death Adder,2008,https://en.wikipedia.org/wiki/Venom_Energy,
Virtue Clean Energy Beverage,2016,"https://www.worldlandtrust.org/get-involved/corporate-supporters/virtue-drinks/#:~:text=Virtue%20Drinks%2C%20the%20multi%2Daward,and%20sugar%2Dfree%20energy%20drinks.",
Viso Energy Drink,,,
Wild Tiger Energy Drink,,,
Wildcat Energy Drink (UK),2010,https://www.linkedin.com/in/kassimrajani/?originalSubdomain=uk,
Wired X 3000 Energy Drink,,,
Wired X Berry Rush,,,
Wired X344 Energy Drink,,,
X Ray Energy Drink,,,
XL Energy Drink (EU),1999,"https://www.zinkdistributing.com/breweries/xl-energy-drink/#:~:text=Our%20success%20story%20began%20in,have%20been%20consumed%20so%20far.",
XS Energy Drink,2002,https://amwayconnections.com/amway/amway-2000s-growth-of-xs-home-technology/,
Xtreme Shock Energy Drink,2005,https://www.bevindustry.com/articles/83963-advanced-nutrient-science-taking-energy-to-the-xtreme,
Xyience Energy Drink,2006,https://www.bevindustry.com/articles/88710-xyience-re-launches-under-new-ownership,
Zest Sparkling Tea,2017,"https://www.bevnet.com/news/2018/zest-tea-launches-rtd-line/#:~:text=The%20new%2012%20oz.,coffee%20and%20traditional%20energy%20drinks.",
Zevia Energy Drink,2016,"https://en.wikipedia.org/wiki/Zevia#:~:text=In%20June%202016%2C%20Zevia%20launched,and%20Energy%20drink%20product%20lines.",
ZipFizz Energy Drink Mix,2007,https://www.vendingmarketwatch.com/beverage/product/10109935/zipfizz-corp-zipfizz-energy-drink,
Zoa Energy Drink,2021,https://www.molsoncoorsblog.com/molson-coors-zoa-investment,
Lipovitan-D,1962,"https://prowm.com/brewing/energy-drinks-history-rise-pasteurization/#:~:text=Early%20History%20of%20Energy%20Drinks,-Energy%20drinks%20have&text=The%20first%20energy%20drink%2C%20called,vitamins%2C%20taurine%2C%20and%20caffeine.",
Krating Daeng,1975,https://en.wikipedia.org/wiki/Krating_Daeng,
